field	cost_type	model_name	name	label1	label2	label3 	label	description
salcanprep	salaries	salcan	Salaries related to candidates	Preparation of candidate guide and forms			Preparation of candidate guide and forms  	Preparation of candidate guide and forms by in-house staff.
salcanproc	salaries	salcan	Salaries related to candidates	Processing candidates			Processing candidates  	Processing candidates by In-house staff, including processing candidate filings, preparation/proof of candidate statements, issuing/receiving candidate nomination papers and verifying signatures, processing campaign disclosure statements, etc.
slacanoth	salaries	salcan	Salaries related to candidates	Other 			Other   	Other in-house labor related to candidates, including preparation and training for candidate filing, preparation of candidate related legal notices, etc.
salcantot	salaries	salcan	Salaries related to candidates	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanpsrp	salaries	salcan	Salaries related to candidates	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanpsop	salaries	salcan	Salaries related to candidates	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcantsrp	salaries	salcan	Salaries related to candidates	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcantsop	salaries	salcan	Salaries related to candidates	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanbe	salaries	salcan	Salaries related to candidates	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbep	salaries	salcan	Salaries related to candidates	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbeps	salaries	salcan	Salaries related to candidates	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbepsp	salaries	salcan	Salaries related to candidates	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbets	salaries	salcan	Salaries related to candidates	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbetsp	salaries	salcan	Salaries related to candidates	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcantothrs	salaries	salcan	Salaries related to candidates	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanhrsps	salaries	salcan	Salaries related to candidates	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanhrsts	salaries	salcan	Salaries related to candidates	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salmedprep	salaries	salmed	Salaries related to media	Preparation of press releases and legal notices			Preparation of press releases and legal notices  	Preparation of press releases by in-house staff to inform about nomination paper deadlines, voter registration deadlines, early voting option, the date of election and when the polls will be open, rules and laws regarding  media at polling places on Election Day and exit polling, a list of candidates and measures on the ballot, sample ballot, etc.
salmedhandl	salaries	salmed	Salaries related to media	Handling of media inquiries			Handling of media inquiries  	Handling of media inquiries by in-house staff.
salmedtot	salaries	salmed	Salaries related to media	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedpsrp	salaries	salmed	Salaries related to media	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedpsop	salaries	salmed	Salaries related to media	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedtsrp	salaries	salmed	Salaries related to media	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedtsop	salaries	salmed	Salaries related to media	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedbe	salaries	salmed	Salaries related to media	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedbep	salaries	salmed	Salaries related to media	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedbeps	salaries	salmed	Salaries related to media	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedbepsp	salaries	salmed	Salaries related to media	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedbets	salaries	salmed	Salaries related to media	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedbetsp	salaries	salmed	Salaries related to media	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 
salmedhrs	salaries	salmed	Salaries related to media	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedhrsps	salaries	salmed	Salaries related to media	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
salmedhrsts	salaries	salmed	Salaries related to media	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.
saldojomc	salaries	saldojo	Salaries related to DOJ and other stakeholders	Meeting and coordination			Meeting and coordination  	Meeting and coordination with DOJ and other stakeholders by in-house staff.
saldojotot	salaries	saldojo	Salaries related to DOJ and other stakeholders	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojopsrp	salaries	saldojo	Salaries related to DOJ and other stakeholders	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojopsop	salaries	saldojo	Salaries related to DOJ and other stakeholders	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojotsrp	salaries	saldojo	Salaries related to DOJ and other stakeholders	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojotsop	salaries	saldojo	Salaries related to DOJ and other stakeholders	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobe	salaries	saldojo	Salaries related to DOJ and other stakeholders	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobep	salaries	saldojo	Salaries related to DOJ and other stakeholders	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobeps	salaries	saldojo	Salaries related to DOJ and other stakeholders	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobepsp	salaries	saldojo	Salaries related to DOJ and other stakeholders	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobets	salaries	saldojo	Salaries related to DOJ and other stakeholders	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojobetsp	salaries	saldojo	Salaries related to DOJ and other stakeholders	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojohrs	salaries	saldojo	Salaries related to DOJ and other stakeholders	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojohrsps	salaries	saldojo	Salaries related to DOJ and other stakeholders	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to the DOJ and other stakeholders, including meetings and coordination. 
saldojohrsts	salaries	saldojo	Salaries related to DOJ and other stakeholders	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to the DOJ and other stakeholders, including meetings and coordination. 
salothvoed	salaries	saloth	Salaries for other election activities	Voter education & outreach			Voter education & outreach  	Voter education and outreach performed by in-house staff in high schools, at community events, etc.
salothvore	salaries	saloth	Salaries for other election activities	Voter registration			Voter registration  	Voter registration performed by in-house staff includes processing new registrations, updating existing voter information, maintaining voter registration affidavits, provisional ballot research, etc.
salothelcal	salaries	saloth	Salaries for other election activities	Preparation of detailed election calendar of events			Preparation of detailed election calendar of events  	Preparation of detailed election calendar of events by in-house staff.
salothstind	salaries	saloth	Salaries for other election activities	Preparation of street indexes			Preparation of street indexes  	Preparation of street indexes by in-house staff.
salothvoros	salaries	saloth	Salaries for other election activities	Preparation of voter rosters			Preparation of voter rosters  	Preparation of voter rosters by in-house staff.
salother	salaries	saloth	Salaries for other election activities	Other 			Other   	Other election activities performed by in-house labor, such as: website updating & maintenance, it administration, phone bank operation, recruitment and training of collection centers/workers, warehouse administration, etc. 
salothtot	salaries	saloth	Salaries for other election activities	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothpsrp	salaries	saloth	Salaries for other election activities	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothpsop	salaries	saloth	Salaries for other election activities	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothtsrp	salaries	saloth	Salaries for other election activities	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothtsop	salaries	saloth	Salaries for other election activities	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothbe	salaries	saloth	Salaries for other election activities	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothbep	salaries	saloth	Salaries for other election activities	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothbeps	salaries	saloth	Salaries for other election activities	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothbepsp	salaries	saloth	Salaries for other election activities	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothbets	salaries	saloth	Salaries for other election activities	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothbetsp	salaries	saloth	Salaries for other election activities	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other. 
salothhrs	salaries	saloth	Salaries for other election activities	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothhrsps	salaries	saloth	Salaries for other election activities	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
salothhrsts	salaries	saloth	Salaries for other election activities	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to voter education and outreach, voter registration, preparation of detailed election calendar of events, preparation of street indexes, preparation of voter rosters, and other.
ssballayout	services & supplies	ssbal	Ballot printing services and supplies	Ballot layout costs (if done by non-employees)			Ballot layout costs (if done by non-employees)  	Ballot layout performed by a contractor.
ssbaltransl	services & supplies	ssbal	Ballot printing services and supplies	Ballot translation (if done by non-employees)			Ballot translation (if done by non-employees)  	Ballot translation performed by a contractor.
ssbalpri	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing (unless done in-house)			Ballot printing (unless done in-house)  	Ballot printing done by outside printer.
ssbalprisb	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)		Ballot printing  Sample ballot and voter information pamphlet (single language) 	Cost of printing single language sample ballot and voter information pamphlet in the following languages:
ssbalprisben	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	English	Ballot printing  Sample ballot and voter information pamphlet (single language) English	English
ssbalprisbch	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Chinese	Ballot printing  Sample ballot and voter information pamphlet (single language) Chinese	Chinese
ssbalprisbko	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Korean	Ballot printing  Sample ballot and voter information pamphlet (single language) Korean	Korean
ssbalprisbsp	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Spanish	Ballot printing  Sample ballot and voter information pamphlet (single language) Spanish	Spanish
ssbalrpisbvi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Vietnamese	Ballot printing  Sample ballot and voter information pamphlet (single language) Vietnamese	Vietnamese
ssbalprisbja	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Japanese	Ballot printing  Sample ballot and voter information pamphlet (single language) Japanese	Japanese
ssbalprisbta	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Tagalog	Ballot printing  Sample ballot and voter information pamphlet (single language) Tagalog	Tagalog
ssbalprisbkh	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Khmer	Ballot printing  Sample ballot and voter information pamphlet (single language) Khmer	Khmer
ssbalprisbhi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Hindi	Ballot printing  Sample ballot and voter information pamphlet (single language) Hindi	Hindi
ssbalprisbth	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	Thai	Ballot printing  Sample ballot and voter information pamphlet (single language) Thai	Thai
ssbalprisbfi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlet (single language)	fill-in other languages	Ballot printing  Sample ballot and voter information pamphlet (single language) fill-in other languages	fill-in other languages
ssbalprisbml	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Sample ballot and voter information pamphlets (multiple languages)		Ballot printing  Sample ballot and voter information pamphlets (multiple languages) 	Cost of printing multi-language sample ballot and voter information pamphlet in the following languages (pull down menus that allow selection of language combinations):
ssbalpriob	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)		Ballot printing  Official ballots (single language) 	Cost of printing single language official ballots in the following languages: 
ssbalprioben	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	English	Ballot printing  Official ballots (single language) English	English
ssbalpriobch	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Chinese	Ballot printing  Official ballots (single language) Chinese	Chinese
ssbalpriobko	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Korean	Ballot printing  Official ballots (single language) Korean	Korean
ssbalpriobsp	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Spanish	Ballot printing  Official ballots (single language) Spanish	Spanish
ssbalpriobvi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Vietnamese	Ballot printing  Official ballots (single language) Vietnamese	Vietnamese
ssbalpriobja	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Japanese	Ballot printing  Official ballots (single language) Japanese	Japanese
ssbalpriobta	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Tagalog	Ballot printing  Official ballots (single language) Tagalog	Tagalog
ssbalpriobkh	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Khmer	Ballot printing  Official ballots (single language) Khmer	Khmer
ssbalpriobhi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Hindi	Ballot printing  Official ballots (single language) Hindi	Hindi
ssbalpriobth	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	Thai	Ballot printing  Official ballots (single language) Thai	Thai
ssbalpriobfi	services & supplies	ssbal	Ballot printing services and supplies	Ballot printing 	Official ballots (single language)	fill-in other languages	Ballot printing  Official ballots (single language) fill-in other languages	fill-in other languages
ssbalpriobml	services & supplies	ssbal	Ballot printing services and supplies		Official ballots (multiple languages)		 Official ballots (multiple languages) 	Cost of printing multi-language official ballots in the following languages (pull down menus that allow selection of language combinations): 
ssbalprivbm	services & supplies	ssbal	Ballot printing services and supplies	Printing of VBM envelopes, instructions and other material			Printing of VBM envelopes, instructions and other material  	Cost of printing VBM envelopes, instructions and other VBM material. 
ssbalpriuo	services & supplies	ssbal	Ballot printing services and supplies	Printing of UOCAVA envelopes, instruction and other material			Printing of UOCAVA envelopes, instruction and other material  	Cost of printing UOCAVA envelopes, instructions and other UOCAVA material. 
ssbalpriprot	services & supplies	ssbal	Ballot printing services and supplies	Printing of provisional ballot envelopes - total cost			Printing of provisional ballot envelopes - total cost  	Total cost of printing provisional ballot envelopes.
ssbalpriprou	services & supplies	ssbal	Ballot printing services and supplies	Printing of provisional ballot envelopes - unit cost			Printing of provisional ballot envelopes - unit cost  	Unit cost of printing provisional ballot envelopes.
ssbalpriship	services & supplies	ssbal	Ballot printing services and supplies	Ballot and related material shipping costs 			Ballot and related material shipping costs   	Cost of shipping ballots and related material between the printer and the county. 
ssbalprioth	services & supplies	ssbal	Ballot printing services and supplies	Other			Other  	Other ballot related service and supply costs.
sspossbal	services & supplies	postage	Postage services and supplies	Sample ballot and voter information pamphlet			Sample ballot and voter information pamphlet  	Postage to mail sample ballot and voter information pamphlet to voters (not including UOCAVA).
ssposuo	services & supplies	postage	Postage services and supplies	UOCAVA sample and official ballot and other mailings			UOCAVA sample and official ballot and other mailings  	Postage to mail UOCAVA sample and official ballots and other UOCAVA mailings.
ssposvbmo	services & supplies	postage	Postage services and supplies	VBM official ballot - outbound			VBM official ballot - outbound  	Postage to mail VBM official ballots to voters.
ssposvbmi	services & supplies	postage	Postage services and supplies	VBM official ballot - inbound			VBM official ballot - inbound  	Postage to receive voted VBM official ballots.
ssposvbmoth	services & supplies	postage	Postage services and supplies	VBM other mailings			VBM other mailings  	Postage for all other VBM mailings.
ssposoth	services & supplies	postage	Postage services and supplies	Other			Other  	Postage to mail other mailings, including change of address cards, etc.
sspwrec	services & supplies	sspw	Poll worker services and supplies	Recruiting (if contracted out) 			Recruiting (if contracted out)   	Cost of recruiters, postage to mail recruiting info and other communications to potential poll workers, etc.
sspwtrain	services & supplies	sspw	Poll worker services and supplies	Training (if done by non-employees) 			Training (if done by non-employees)   	Cost of training manuals and audio-visual development, rent/purchase of training equipment, rent of training facilities, cost of outside trainers, printing of training hand-outs, etc. 
sspwcomp	services & supplies	sspw	Poll worker services and supplies	Poll worker compensation			Poll worker compensation  	Hourly or daily amount, extra for lead, for attending training, for mileage for return of ballots and supplies, for use of personal cell phone, etc.
sspwoth	services & supplies	sspw	Poll worker services and supplies	Other			Other  	Other poll worker services & supplies, including mileage for staff to attend after hour poll worked training, postage to mail poll worker passes and paychecks, etc.
ssppsurvey	services & supplies	sspp	Polling place services and supplies	Surveying costs (if done by non-employees)			Surveying costs (if done by non-employees)  	Cost of surveying polling places by a contractor. 
sspprent	services & supplies	sspp	Polling place services and supplies	Facility rental			Facility rental  	Cost of renting polling places.
ssppmod	services & supplies	sspp	Polling place services and supplies	Facility modifications 			Facility modifications   	Cost of modifying polling places for voters with disabilities.
ssppdelive	services & supplies	sspp	Polling place services and supplies	Delivery and pick-up 			Delivery and pick-up   	Delivery and pick-up to and from polling place by contractor of voting equipment, tables, chairs, supply kits, etc.
ssppsup	services & supplies	sspp	Polling place services and supplies	Supplies 			Supplies   	All election supplies used at a polling place during an election, including signs, posters, flags, voting booths, rosters, street indexes, supply boxes with contents, office supplies, etc. .
ssppsec	services & supplies	sspp	Polling place services and supplies	Security			Security  	Costs for law enforcement and outside security services.
ssppoth	services & supplies	sspp	Polling place services and supplies	Other services & supplies			Other services & supplies  	Cost of polling place cleaning, insurance, polling place change cards, etc.  Includes staff mileage for delivery/pick-up of supplies to/from polling place. 
ssvehrent	services & supplies	ssveh	Vehicle services and supplies	Rented vehicles			Rented vehicles  	Costs to rent vehicles for election related transportation, excluding polling place deliveries and pick-ups. 
ssvehcount	services & supplies	ssveh	Vehicle services and supplies	County vehicles			County vehicles  	Costs to use county vehicles for election related transportation, excluding polling place deliveries and pick-ups.
ssvehfuel	services & supplies	ssveh	Vehicle services and supplies	Fuel			Fuel  	Costs to purchase fuel for vehicles used for election related transportation, excluding polling place deliveries and pick-ups. 
ssvehins	services & supplies	ssveh	Vehicle services and supplies	Insurance			Insurance  	Costs to insure vehicles used for election related transportation, excluding polling place deliveries and pick-ups.
sscanprint	services & supplies	sscan	Candidate services and supplies	Printing costs			Printing costs  	Costs to print candidate guides, forms, and other candidate materials.
ssmedprint	services & supplies	ssmed	Media services and supplies	Printing costs 			Printing costs   	Costs to print election media kits, press releases, and other media materials.
ssothoutrea	services & supplies	ssoth	Other services and supplies	Outreach activities 			Outreach activities   	Costs to rent booths/tables at events, printing marketing material, purchasing supplies, contracting outside labor for election outreach activities.
ssothbcounth	services & supplies	ssoth	Other services and supplies	Ballot counting by outside help			Ballot counting by outside help  	Costs to contract with outside labor to help with ballot counting.
ssothbcsec	services & supplies	ssoth	Other services and supplies	Ballot counting security			Ballot counting security  	Costs for law enforcement and security services.
ssothwareh	services & supplies	ssoth	Other services and supplies	Warehouse lease and supplies			Warehouse lease and supplies  	Costs to lease warehouse, to contract outside warehouse labor and to purchase warehouse supplies for election purposes. 
ssothelcom	services & supplies	ssoth	Other services and supplies	Election day communication 			Election day communication   	Costs to purchase/lease cell phones, aircards, and other communication equipment for election day.
ssothphbank	services & supplies	ssoth	Other services and supplies	Phone bank operations			Phone bank operations  	Costs to operate election phone bank by outside labor and to purchase phone bank supplies, including headsets, manuals, etc.
ssothwebsite	services & supplies	ssoth	Other services and supplies	Website building/updating/maintenance			Website building/updating/maintenance  	Costs to build/update/maintain the election website by a contractor.
ssothcpst	services & supplies	ssoth	Other services and supplies	Computers/printers/scanners/telephones			Computers/printers/scanners/telephones  	Usage charges for using computers/printers/scanners/telephones for election purposes (exclude capital purchases). Pass if these charges are included in your indirect costs. 
ssothoth	services & supplies	ssoth	Other services and supplies	Other 			Other   	All other election related services and supplies.
